cv_fold_1_rep_1	cv_fold_2_rep_1	cv_fold_3_rep_1	cv_fold_4_rep_1	cv_fold_5_rep_1	cv_fold_1_rep_2	cv_fold_2_rep_2	cv_fold_3_rep_2	cv_fold_4_rep_2	cv_fold_5_rep_2	cv_fold_1_rep_3	cv_fold_2_rep_3	cv_fold_3_rep_3	cv_fold_4_rep_3	cv_fold_5_rep_3	cv_fold_1_rep_4	cv_fold_2_rep_4	cv_fold_3_rep_4	cv_fold_4_rep_4	cv_fold_5_rep_4	cv_fold_1_rep_5	cv_fold_2_rep_5	cv_fold_3_rep_5	cv_fold_4_rep_5	cv_fold_5_rep_5	cv_fold_1_rep_6	cv_fold_2_rep_6	cv_fold_3_rep_6	cv_fold_4_rep_6	cv_fold_5_rep_6	cv_fold_1_rep_7	cv_fold_2_rep_7	cv_fold_4_rep_7	cv_fold_5_rep_7	cv_fold_1_rep_8	cv_fold_2_rep_8	cv_fold_3_rep_8	cv_fold_4_rep_8	cv_fold_5_rep_8	cv_fold_1_rep_9	cv_fold_2_rep_9	cv_fold_3_rep_9	cv_fold_4_rep_9	cv_fold_5_rep_9	cv_fold_1_rep_10	cv_fold_2_rep_10	cv_fold_3_rep_10	cv_fold_4_rep_10	cv_fold_5_rep_10
motu_linkage_group_113	-0.214839491119937	-0.285307829112809	0.0327469011948248	-0.232292736295931	-0.0742060587842957	0.00259276515772364	-0.424608710538216	0.0707632809224881	-0.261406136224409	0.261217154325652	-0.791543153947448	0.0138390586148636	0.222637516583545	-0.23958484009357	0.0326096284156605	-0.0558322796358933	-0.352833422525558	-0.625018249969038	0.00284300311231073	-0.02462460976162	-0.0656146256268963	-0.75229513521636	0.0761377075638011	-0.0762005623880744	-0.458093936023465	0.0134014393906356	-0.520237033685657	-0.424043033706013	-0.182907941065467	-0.25575789551978	-0.350871675328802	-0.17233627946626	0.12992974758733	-0.298825012737803	-0.167736244927722	-0.671562266853539	0.0165435802418434	0.0764228871611582	-0.462207671181452	-0.0536114904658164	0.106110842045619	-0.0482848010452547	-0.89516761087176	0.124703884494572	-0.00732037328324298	-0.332866051449965	-0.0213840605707026	-0.249114221658439	0.138280088678155
Akkermansia_muciniphila	28.1747323739593	40.1415796293028	24.4052148355305	30.8887205185613	19.2909380717483	67.4988346111327	31.4414030640995	33.0474511329498	6.86199133478116	24.1863759442456	52.4553755507925	43.2659827677094	21.4296850887469	12.0486321970197	47.1823437170201	70.0603860126737	41.1357376400314	19.6244716082518	38.5820477039393	10.9657432642283	11.3610800007075	62.5081355654428	34.4838909322611	14.7118978356868	62.3211692474816	22.2637141357003	53.6370859720755	53.5836771006173	27.7275658315968	18.172977041148	32.5388409745262	29.5270609346509	18.7659367134638	15.1788575747178	39.4403513195058	28.6719046416489	13.3363224570213	25.8950625024689	29.0366718607917	10.0092090100658	52.9028220229178	0	61.0881195235652	36.3000684867933	37.7603766280575	54.9710300244098	3.6175806169851	32.6922223393765	27.0983914923254
motu_linkage_group_348	0	-40.9554969503769	0	-5.56639676435082	0	-47.1924542477111	0	-39.9514774765213	0	0	-48.6949806152174	0	0	0	-23.8533335661323	-42.323349710276	-21.5634304989791	-9.79139497719076	-33.5606362444286	0	0	-8.63831969800022	-10.262103600727	0	-62.677415770393	-32.7385897102929	-22.0587410722733	-70.7953921347382	0	0	0	0	0	0	0	-25.0014362495988	-33.3857054069509	0	-5.66994316775887	0	-33.6921825496677	0	-65.834208970759	-14.2266720183871	-57.4551531934865	-23.8116450972326	0	0	-8.01531518261253
motu_linkage_group_49	1218.51353453566	6890.77042568131	1399.51719931312	542.98823965535	1803.59315243031	209.977092735362	1172.93438030254	2718.60358591165	1671.64934627883	2924.00496535704	1761.080841622	2753.88641974038	1105.94973867752	1417.18897328233	0	4002.04160177213	2392.33035471424	2197.35067676649	2622.11379237357	1320.07353014314	880.488562944488	3094.89642457905	1911.86293731932	1550.74980314713	8288.14116973884	1380.39396884247	3442.63936892028	25.2352434746857	2362.36962628771	1117.92252404873	1119.77930891137	2964.07391243531	3647.38457942102	757.260290686448	2933.07114432265	2692.25447483317	501.245789442414	2288.74049370931	2179.06287644175	1359.9421176481	4569.05705088929	1240.14274428561	1055.43519233755	2576.51974491319	1782.28393436999	2115.48700411156	735.435463499706	1690.96579016456	2873.96291398521
motu_linkage_group_14	2242.20707307659	2355.19189502006	1206.57690635025	1145.43209329498	757.395205814503	1397.26071934221	1286.18627820032	2000.10890468974	373.725774066789	1242.06695284339	2307.30051819673	1550.00403117356	950.827933212918	1344.53246001633	3876.85333194295	1350.91632029095	2398.27491410817	3744.24144198119	1531.49373975839	0	747.977059310344	2118.99974682531	1676.72960496138	872.781239317476	2227.05452751864	744.649965811466	3659.18537469165	4820.38973176235	2480.14167035507	799.722438152775	2288.67186874034	2023.57968859803	1284.19855588371	1008.3445923408	1583.78801738669	1084.61428065596	1523.42457371982	1176.86654608093	1565.98965071428	396.221029262126	2649.52663638607	1461.34705323113	2404.23029407597	2202.21736159285	8.48750305142945	2473.29901606565	132.722764664324	3825.13390097401	4949.73617260077
Bifidobacterium_longum	-166.51515057916	-163.412130213083	-181.617929621871	-256.55353157301	0	-426.408317815133	-154.232611958113	-262.826597415566	0	-153.202833463112	-133.326191568656	-175.301302933932	-91.45700898427	-123.67581911682	-395.890045736321	-317.175018332252	0	-310.123031618	-229.632888986538	0	-71.5189507434105	-355.727244681556	-258.635101124334	0	-396.801727469109	-167.047401665976	-569.915961025797	-193.313558202518	-273.39744497882	-99.9622027901986	0	-214.903610851592	-49.6604920505866	-106.606147095611	-161.719250166941	-247.389063344882	-17.51341438421	-140.660071908975	-300.834672987881	0	-319.731869071503	-151.519903242655	-356.32693983109	-200.767982206245	-305.191430560186	-331.733725148581	0	-107.73455443431	-401.597193830685
Bifidobacterium_bifidum	0.545508867501081	79.3727120591613	0	36.5037977589724	0	0	45.4474512776086	59.2432727234042	0	0	2084.75954060739	54.4844123339301	0	0	84.285516178309	1588.46028586624	0	169.059053243023	78.6920443502816	0	0	856.468783288748	47.337277314215	0	87.8532640650258	0	132.764940740726	107.41691040867	34.0873271638786	0	39.3734883113034	123.59303861854	0	0	51.448193784143	0	14.4418443692931	1.78501578367888	67.0214952552861	0	297.327054139948	20.1584151029312	55.3885673686477	58.1148395307937	109.793266732955	89.4807410813417	0	52.0174563494291	1.30481771944643
Clostridiales_bacterium_1_7_47FAA	0	-6067.04525225907	-2068.31812507677	-1627.99796142578	0	-13051.8236031749	-40.8900342182513	0	0	0	-8532.25632282074	-3538.79770324602	0	-3750.18940211773	-4515.24629821607	-19401.8235299907	-7843.54421931819	-2160.27054581568	-719.844647865731	0	0	-11332.0147911202	-9949.25973074306	0	-10770.9435702854	0	-8117.12021077699	-437.563176584337	-6681.05693863797	-3269.44305134364	0	-662.289010375031	0	0	-1404.86953381397	-6222.73549478293	-6802.50025256631	0	-149.278255130315	0	-8060.64737285617	-1792.92932812324	-12036.7209336041	-3585.58423959428	-286.239888464449	-9142.52155286259	0	0	-20579.6155753002
Clostridium_symbiosum	72.8816574677379	177.820552890356	58.923039584237	0	0	181.90158152289	0	190.883957571893	0	0	0	22.4647226512067	25.7603967390441	53.6734055872443	0	0	70.3288942126282	146.901875004484	85.8377734594489	0	28.2241436377773	175.235754400103	62.4282995783173	2.47304793632759	0	0	120.858804706275	249.870289680616	124.276400810306	0	51.812158482989	248.416939180025	0	0	0	75.5125486463954	33.4603561170083	0	180.746003635574	0	89.5271366676521	114.948376375167	0	18.481926620311	66.7953145822707	211.523060466148	0	0	171.849467788965
Methanobrevibacter_smithii	823.475539705934	0	194.746591111618	304.123212997921	542.488532644905	0	620.388546194619	0	400.891148369941	630.829262757895	1372.94273069568	71.9998646703167	863.012378576679	1111.52478564259	0	1648.53286097303	1597.59341089345	916.579564712192	0	73.3496223175435	680.716448377337	0	1448.06571324163	698.251108398682	0	777.421861263491	1374.55146609694	649.67003179893	2067.97046006217	0	1264.59642252157	0	582.304141009613	245.930849889405	177.122530531413	571.083383302391	365.761004776895	232.398982172266	1442.52828171129	274.575286259316	869.882091976781	692.004500034948	944.748053476495	0	0	0	428.437293846684	1444.47450284917	1589.72595166571
