	cv_fold_1_rep_1	cv_fold_2_rep_1	cv_fold_3_rep_1	cv_fold_4_rep_1	cv_fold_5_rep_1	cv_fold_1_rep_2	cv_fold_2_rep_2	cv_fold_3_rep_2	cv_fold_4_rep_2	cv_fold_5_rep_2	cv_fold_1_rep_3	cv_fold_2_rep_3	cv_fold_3_rep_3	cv_fold_4_rep_3	cv_fold_5_rep_3	cv_fold_1_rep_4	cv_fold_2_rep_4	cv_fold_3_rep_4	cv_fold_4_rep_4	cv_fold_5_rep_4	cv_fold_1_rep_5	cv_fold_2_rep_5	cv_fold_3_rep_5	cv_fold_4_rep_5	cv_fold_5_rep_5	cv_fold_1_rep_6	cv_fold_2_rep_6	cv_fold_3_rep_6	cv_fold_4_rep_6	cv_fold_5_rep_6	cv_fold_1_rep_7	cv_fold_2_rep_7	cv_fold_3_rep_7	cv_fold_4_rep_7	cv_fold_5_rep_7	cv_fold_1_rep_8	cv_fold_2_rep_8	cv_fold_3_rep_8	cv_fold_4_rep_8	cv_fold_5_rep_8	cv_fold_1_rep_9	cv_fold_2_rep_9	cv_fold_3_rep_9	cv_fold_4_rep_9	cv_fold_5_rep_9	cv_fold_1_rep_10	cv_fold_2_rep_10	cv_fold_3_rep_10	cv_fold_4_rep_10	cv_fold_5_rep_10
motu_linkage_group_113	0.110356993	-0.225394799	-0.932320568	0.04901965	0.150646029	-1.285387465	-0.305485554	-0.10972311	-0.178669622	-0.490300821	-0.302442336	0.28375951	-1.962077752	0.269361905	-0.570626401	0.126861063	-0.576335922	-0.938711979	0.058897118	0.180521842	0.988275842	-0.734939333	0.171432184	-0.677083952	-0.835334257	0.105777305	0.54483037	0.347296827	-0.682881639	-0.615046088	-0.002447159	0.162529513	0.400457849	-0.548114935	-2.188720035	-0.101079422	-0.324681528	-0.289982129	-0.186019764	0.461104337	0.635682952	-0.799516751	-1.892702369	-0.023068331	-0.517606379	-0.459494016	-0.301002414	-0.45261548	-0.292532495	-0.157236561
motu_linkage_group_310	-0.593986996	-0.282635546	-0.581541687	-0.936253203	-0.572128688	-0.732826796	-0.339773445	-0.91060065	-0.521928529	-0.415145507	-0.736010676	-0.646957874	-1.524569836	-0.559909723	-0.647188554	-0.816811973	-0.964395883	-0.377985609	-0.695830274	-0.390753058	-0.664841863	-0.636028428	-1.03534741	-0.223110617	-0.565872823	-0.781794225	-0.783924852	-0.553143008	-0.42510751	-0.788201334	-0.379873091	-0.585137124	-1.181178488	-0.712999425	-1.393096287	-0.403569457	-0.741422614	-0.798426276	-0.48840702	-0.50394448	-1.120325922	-0.88546361	-0.839954096	-0.642973564	-0.219085829	-0.732951615	-0.368853364	-0.605846523	-0.617906576	-0.640583153
Akkermansia_muciniphila	0.443395976	0.402273227	0.177979531	0.464085206	0.394900139	0.305465822	0.223737229	0.463698528	0.427528822	0.258208893	0.391441463	0.255879531	0.840581765	0.759747699	0.424854466	0.521518786	0.323495906	0.279017372	0.485705161	0.551222335	0.452901565	0.329779889	0.391750409	0.412044923	0.30977806	0.361514859	0.499258509	0.760506164	0.293114905	0.380299433	0.46314712	0.299373977	0.697678166	0.567634625	0.630608801	0.560762743	0.348298925	0.201769297	0.323136479	0.358609101	0.818837181	0.405057907	0.011905925	0.408874348	0.356162975	0.57954549	0.3541218	0.488259451	0.247851543	0.18322555
motu_linkage_group_273	0.053120848	0.089459403	0.154260491	0.3335123	0.238585329	0.263774345	0	0.057721988	0	0.391164811	0.11921645	0.411480093	0.159743735	0.208052109	0.046946246	0.15074697	0.267457389	0.156945177	0.241426618	0.302623465	0.190127079	0.058861076	0.235952058	0.119963631	0.317606661	0.145004333	0.006144631	0.125018425	0.164785385	0.310334532	0.285497655	0.413049407	0	0.20752704	0.016216969	0.153218565	0.283898238	0.287114647	0.005569527	0.150881183	0.031851108	0.073995785	0.605174386	0.089654964	0.284149173	0.080839201	0.097652483	0.229609249	0.142164166	0.231988997
motu_linkage_group_348	-0.166734113	-0.222638611	-0.120345394	-0.223628334	-0.191105398	-0.170416233	-0.100168515	-0.143776551	-0.153777774	-0.353658007	-0.136860351	-0.25733627	-0.266617949	-0.579996081	-0.139267064	-0.15201638	-0.249060539	-0.177757412	-0.110803164	-0.124255762	-0.245588298	-0.00173138	-0.371991068	-0.230695734	-0.272316476	-0.429196039	-0.194334116	-0.140125685	-0.146965329	-0.110404396	-0.126416657	-0.190947961	-0.415528625	-0.287177101	-0.02550835	-0.002084726	-0.090771978	-0.423718758	-0.095367807	-0.363905797	-0.231785273	-0.299027224	0	-0.174545789	-0.336027825	-0.288681469	-0.018417463	-0.240914623	-0.100916748	-0.288072827
motu_linkage_group_63	-0.436959642	-0.298903853	-0.290559161	-0.61426874	-0.603241203	-0.323957356	-0.117158876	-0.501221687	-0.582466067	-0.465119147	-1.056149769	-0.324469416	-1.030328388	-0.548767442	-0.298109257	-0.394538974	-0.299985131	-0.336915648	-0.714046149	-0.802641352	-0.56962783	-0.153930121	-0.581969463	-0.444752546	-0.611771026	-0.328339248	-0.931511005	-0.919908854	-0.436787349	-0.283959934	-0.27423564	-0.863405014	-0.622823676	-0.667541476	-0.665467671	-0.485955081	-0.618014032	-0.705310222	-0.177332189	-0.497926034	-0.944261794	-0.373672313	-1.010470999	-0.310965363	-0.328080943	-0.516806851	-0.146666871	-0.378953619	-0.703940371	-0.247695885
Eubacterium_siraeum	0	0.010289567	0.138369404	0.015222458	0.055230873	0.096575242	0	0.104775324	0	0.126375594	0	0.226696621	0	0.168646563	0	0	0	0	0.345031913	0.042064	0.20337303	0.119533333	0.080388929	0	0.12765994	0.025173309	0	0	0.006977674	0.091170157	0	0.166044384	0.109450776	0	0	0.144260572	0	0.014334694	0	0.232867794	0.057348983	0.100606797	0.447878491	0	0	0	0.012229205	0.335658645	0	0.025072127
Clostridium_perfringens	0.179719449	0	0.044660338	0.429642121	0.070538307	0	0.043736186	0	0.218203364	0.274496929	0.095581327	0.119306534	0	0	0.33713573	0.380680528	0.267629543	0	0.190215516	0	0	0.257453014	0	0.061988473	0.040020653	0.342190939	0.05583125	0	0.133344457	0.024826514	0.041015632	0	0.029288226	0.271660851	0.297556862	0	0	0.356633251	0.074321413	0.131574354	0	0.421020872	0.367911913	0	0.125932506	0.02846631	0.06377811	0.216708426	0.251816601	0.14733488
Acidaminococcus_intestini	-0.319915449	0	-0.393364409	-0.210116597	-0.502844609	-0.342480367	-0.210908572	-0.317693991	0	-0.255594198	0	-0.110903165	0	-0.885324552	-0.19916003	0	-0.23387981	-0.433735399	-0.3070942	-0.002304937	-0.394032461	-0.234716105	-0.579799942	-0.102771658	-0.292096596	-0.382412606	0	-0.612448091	-0.252237881	-0.324381498	-0.61484008	-0.21281267	-0.530120364	-0.077152366	-0.797267111	-0.099644257	-0.429491527	0	-0.241531414	-0.882839781	-0.302650668	-0.210474887	0	-0.418029656	-0.211840653	-0.343987367	-0.226448169	-0.958843537	-0.033793146	0
motu_linkage_group_49	0.145954857	0	0.073168975	0	0.371808773	0	0	0.465284924	0.343140379	0.184486571	0.191143421	0.221117823	0.697248505	0.673800537	0.05448591	0.07467496	0.244887809	0	0.37401179	0.489447079	0.412965024	0.19731219	0.085724532	0	0	0.173905909	0.542371473	0.486971896	0.019907832	0.058610827	0.315980558	0.299295151	0.521821158	0.599691049	0.191692062	0.140175591	0.294442765	0.384459467	0.087877658	0.224561032	0.795108532	0.261884147	0.163130606	0.068103738	0	0.03026711	0	0.570717609	0	0.290205434
