1A	RSZYD16111216	CL100012115_L01_12	1A_RSZYD16111216.clean.rmhost.fq.gz
2A	RSZYD16111217	CL100012115_L01_13	2A_RSZYD16111217.clean.rmhost.fq.gz
3A	RSZYD16111218	CL100012115_L01_14	3A_RSZYD16111218.clean.rmhost.fq.gz
4A	RSZYD16111219	CL100012115_L01_15	4A_RSZYD16111219.clean.rmhost.fq.gz
5A	RSZYD16111220	CL100012115_L01_16	5A_RSZYD16111220.clean.rmhost.fq.gz
6A	RSZYD16111221	CL100012115_L02_1	6A_RSZYD16111221.clean.rmhost.fq.gz
7A	RSZYD16111222	CL100012115_L02_2	7A_RSZYD16111222.clean.rmhost.fq.gz
8A	RSZYD16111223	CL100012115_L02_3	8A_RSZYD16111223.clean.rmhost.fq.gz
9A	RSZYD16111224	CL100012115_L02_4	9A_RSZYD16111224.clean.rmhost.fq.gz
10A	RSZYD16111225	CL100012115_L02_5	10A_RSZYD16111225.clean.rmhost.fq.gz
11A	RSZYD16111226	CL100012115_L02_6	11A_RSZYD16111226.clean.rmhost.fq.gz
12A	RSZYD16111227	CL100012115_L02_7	12A_RSZYD16111227.clean.rmhost.fq.gz
13A	RSZYD16111228	CL100012115_L02_8	13A_RSZYD16111228.clean.rmhost.fq.gz
14A	RSZYD16111229	CL100012113_L01_9	14A_RSZYD16111229.clean.rmhost.fq.gz
15A	RSZYD16111230	CL100012113_L01_10	15A_RSZYD16111230.clean.rmhost.fq.gz
16A	RSZYD16111231	CL100012113_L01_11	16A_RSZYD16111231.clean.rmhost.fq.gz
17A	RSZYD16111232	CL100012113_L01_12	17A_RSZYD16111232.clean.rmhost.fq.gz
18A	RSZYD16111233	CL100012113_L01_13	18A_RSZYD16111233.clean.rmhost.fq.gz
19A	RSZYD16111234	CL100012113_L01_14	19A_RSZYD16111234.clean.rmhost.fq.gz
20A	RSZYD16111235	CL100012113_L01_15	20A_RSZYD16111235.clean.rmhost.fq.gz
21A	RSZYD16111236	CL100012113_L01_16	21A_RSZYD16111236.clean.rmhost.fq.gz
22A	RSZYD16111237	CL100012113_L02_1	22A_RSZYD16111237.clean.rmhost.fq.gz
23A	RSZYD16111238	CL100012113_L02_2	23A_RSZYD16111238.clean.rmhost.fq.gz
24A	RSZYD16111239	CL100012113_L02_3	24A_RSZYD16111239.clean.rmhost.fq.gz
25A	RSZYD16100885	CL100012115_L01_9	25A_RSZYD16100885.clean.rmhost.fq.gz
26A	RSZYD16111241	CL100012113_L02_4	26A_RSZYD16111241.clean.rmhost.fq.gz
27A	RSZYD16111242	CL100012113_L02_5	27A_RSZYD16111242.clean.rmhost.fq.gz
28A	RSZYD16111243	CL100012113_L02_6	28A_RSZYD16111243.clean.rmhost.fq.gz
29A	RSZYD16111244	CL100012113_L02_7	29A_RSZYD16111244.clean.rmhost.fq.gz
30A	RSZYD16111245	CL100012113_L02_8	30A_RSZYD16111245.clean.rmhost.fq.gz
31A	RSZYD16111246	CL100012239_L01_1	31A_RSZYD16111246.clean.rmhost.fq.gz
32A	RSZYD16111247	CL100012239_L01_2	32A_RSZYD16111247.clean.rmhost.fq.gz
33A	RSZYD16111248	CL100012239_L01_3	33A_RSZYD16111248.clean.rmhost.fq.gz
34A	RSZYD16111249	CL100012239_L01_4	34A_RSZYD16111249.clean.rmhost.fq.gz
35A	RSZYD16111250	CL100012239_L01_5	35A_RSZYD16111250.clean.rmhost.fq.gz
36A	RSZYD16111251	CL100012239_L01_6	36A_RSZYD16111251.clean.rmhost.fq.gz
37A	RSZYD16111252	CL100012239_L01_7	37A_RSZYD16111252.clean.rmhost.fq.gz
38A	RSZYD16111253	CL100012239_L01_8	38A_RSZYD16111253.clean.rmhost.fq.gz
39A	RSZYD16111254	CL100012239_L02_9	39A_RSZYD16111254.clean.rmhost.fq.gz
40A	RSZYD16111255	CL100012239_L02_10	40A_RSZYD16111255.clean.rmhost.fq.gz
41A	RSZYD16111256	CL100012239_L02_11	41A_RSZYD16111256.clean.rmhost.fq.gz
42A	RSZYD16111257	CL100012239_L02_12	42A_RSZYD16111257.clean.rmhost.fq.gz
43A	RSZYD16111258	CL100012239_L02_13	43A_RSZYD16111258.clean.rmhost.fq.gz
44A	RSZYD16111259	CL100012239_L02_14	44A_RSZYD16111259.clean.rmhost.fq.gz
45A	RSZYD16111260	CL100012239_L02_15	45A_RSZYD16111260.clean.rmhost.fq.gz
