sample_name,sample_id,library_id,fastq_id,order_id,group,seqtime_point
Bcontrol1A,RSZYD16111216_A,GRJBAASRAA1213-N,CL100012115_L01_12,1,Con,1
Bcontrol2A,RSZYD16111217_A,GRJBAASRAA1213-N,CL100012115_L01_13,2,Con,1
Bcontrol3A,RSZYD16111218_A,GRJBAASRAA1213-N,CL100012115_L01_14,3,Con,1
Bcontrol4A,RSZYD16111219_A,GRJBAASRAA1213-N,CL100012115_L01_15,4,Con,1
Bcontrol5A,RSZYD16111220_A,GRJBAASRAA1213-N,CL100012115_L01_16,5,Con,1
Bcontrol6A,RSZYD16111221_A,GRJBAATRAA1213-N,CL100012115_L02_1,6,Con,1
Bcontrol7A,RSZYD16111222_A,GRJBAATRAA1213-N,CL100012115_L02_2,7,Con,1
Bmodel8A,RSZYD16111223_A,GRJBAATRAA1213-N,CL100012115_L02_3,8,Model,1
Bmodel9A,RSZYD16111224_A,GRJBAATRAA1213-N,CL100012115_L02_4,9,Model,1
Bmodel10A,RSZYD16111225_A,GRJBAATRAA1213-N,CL100012115_L02_5,10,Model,1
Bmodel11A,RSZYD16111226_A,GRJBAATRAA1213-N,CL100012115_L02_6,11,Model,1
Bmodel12A,RSZYD16111227_A,GRJBAATRAA1213-N,CL100012115_L02_7,12,Model,1
Bmodel13A,RSZYD16111228_A,GRJBAATRAA1213-N,CL100012115_L02_8,13,Model,1
Bmodel14A,RSZYD16111229_A,GRJBAAURAA1213-N,CL100012113_L01_9,14,Model,1
Bfat15A,RSZYD16111230_A,GRJBAAURAA1213-N,CL100012113_L01_10,15,HFD,1
Bfat16A,RSZYD16111231_A,GRJBAAURAA1213-N,CL100012113_L01_11,16,HFD,1
Bfat17A,RSZYD16111232_A,GRJBAAURAA1213-N,CL100012113_L01_12,17,HFD,1
Bfat18A,RSZYD16111233_A,GRJBAAURAA1213-N,CL100012113_L01_13,18,HFD,1
Bfat19A,RSZYD16111234_A,GRJBAAURAA1213-N,CL100012113_L01_14,19,HFD,1
Bfat20A,RSZYD16111235_A,GRJBAAURAA1213-N,CL100012113_L01_15,20,HFD,1
Bfat21A,RSZYD16111236_A,GRJBAAURAA1213-N,CL100012113_L01_16,21,HFD,1
BMTX22A,RSZYD16111237_A,GRJBAAVRAA1213-N,CL100012113_L02_1,22,MTX,1
BMTX23A,RSZYD16111238_A,GRJBAAVRAA1213-N,CL100012113_L02_2,23,MTX,1
BMTX24A,RSZYD16111239_A,GRJBAAVRAA1213-N,CL100012113_L02_3,24,MTX,1
