sample_id,fastq_id,sample_name,library_id,order_id,group,seqtime_point
1A_RSZYD16111216,CL100012115_L01_12,Bcontrol1A,GRJBAASRAA1213-N,1,Con,1
2A_RSZYD16111217,CL100012115_L01_13,Bcontrol2A,GRJBAASRAA1213-N,2,Con,1
3A_RSZYD16111218,CL100012115_L01_14,Bcontrol3A,GRJBAASRAA1213-N,3,Con,1
4A_RSZYD16111219,CL100012115_L01_15,Bcontrol4A,GRJBAASRAA1213-N,4,Con,1
5A_RSZYD16111220,CL100012115_L01_16,Bcontrol5A,GRJBAASRAA1213-N,5,Con,1
6A_RSZYD16111221,CL100012115_L02_1,Bcontrol6A,GRJBAATRAA1213-N,6,Con,1
7A_RSZYD16111222,CL100012115_L02_2,Bcontrol7A,GRJBAATRAA1213-N,7,Con,1
8A_RSZYD16111223,CL100012115_L02_3,Bmodel8A,GRJBAATRAA1213-N,8,Model,1
9A_RSZYD16111224,CL100012115_L02_4,Bmodel9A,GRJBAATRAA1213-N,9,Model,1
10A_RSZYD16111225,CL100012115_L02_5,Bmodel10A,GRJBAATRAA1213-N,10,Model,1
11A_RSZYD16111226,CL100012115_L02_6,Bmodel11A,GRJBAATRAA1213-N,11,Model,1
12A_RSZYD16111227,CL100012115_L02_7,Bmodel12A,GRJBAATRAA1213-N,12,Model,1
13A_RSZYD16111228,CL100012115_L02_8,Bmodel13A,GRJBAATRAA1213-N,13,Model,1
14A_RSZYD16111229,CL100012113_L01_9,Bmodel14A,GRJBAAURAA1213-N,14,Model,1
15A_RSZYD16111230,CL100012113_L01_10,Bfat15A,GRJBAAURAA1213-N,15,HFD,1
16A_RSZYD16111231,CL100012113_L01_11,Bfat16A,GRJBAAURAA1213-N,16,HFD,1
17A_RSZYD16111232,CL100012113_L01_12,Bfat17A,GRJBAAURAA1213-N,17,HFD,1
18A_RSZYD16111233,CL100012113_L01_13,Bfat18A,GRJBAAURAA1213-N,18,HFD,1
19A_RSZYD16111234,CL100012113_L01_14,Bfat19A,GRJBAAURAA1213-N,19,HFD,1
20A_RSZYD16111235,CL100012113_L01_15,Bfat20A,GRJBAAURAA1213-N,20,HFD,1
21A_RSZYD16111236,CL100012113_L01_16,Bfat21A,GRJBAAURAA1213-N,21,HFD,1
22A_RSZYD16111237,CL100012113_L02_1,BMTX22A,GRJBAAVRAA1213-N,22,MTX,1
23A_RSZYD16111238,CL100012113_L02_2,BMTX23A,GRJBAAVRAA1213-N,23,MTX,1
24A_RSZYD16111239,CL100012113_L02_3,BMTX24A,GRJBAAVRAA1213-N,24,MTX,1
25A_RSZYD16100885,CL100012115_L01_9,MTX25A,GRJBAASRAA1213-N,25,MTX,1
26A_RSZYD16111241,CL100012113_L02_4,BMTX26A,GRJBAAVRAA1213-N,26,MTX,1
27A_RSZYD16111242,CL100012113_L02_5,BMTX27A,GRJBAAVRAA1213-N,27,MTX,1
28A_RSZYD16111243,CL100012113_L02_6,BMTX28A,GRJBAAVRAA1213-N,28,MTX,1
29A_RSZYD16111244,CL100012113_L02_7,BZQF29A,GRJBAAVRAA1213-N,29,ZQFTN,1
30A_RSZYD16111245,CL100012113_L02_8,BZQF30A,GRJBAAVRAA1213-N,30,ZQFTN,1
31A_RSZYD16111246,CL100012239_L01_1,BZQF31A,GRJBAAWRAA1213-N,31,ZQFTN,1
32A_RSZYD16111247,CL100012239_L01_2,BZQF32A,GRJBAAWRAA1213-N,32,ZQFTN,1
33A_RSZYD16111248,CL100012239_L01_3,BZQF33A,GRJBAAWRAA1213-N,33,ZQFTN,1
34A_RSZYD16111249,CL100012239_L01_4,BZQF34A,GRJBAAWRAA1213-N,34,ZQFTN,1
35A_RSZYD16111250,CL100012239_L01_5,BZQF35A,GRJBAAWRAA1213-N,35,ZQFTN,1
36A_RSZYD16111251,CL100012239_L01_6,BGJK36A,GRJBAAWRAA1213-N,36,GJK,1
37A_RSZYD16111252,CL100012239_L01_7,BGJK37A,GRJBAAWRAA1213-N,37,GJK,1
38A_RSZYD16111253,CL100012239_L01_8,BGJK38A,GRJBAAWRAA1213-N,38,GJK,1
39A_RSZYD16111254,CL100012239_L02_9,BGJK39A,GRJBAAXRAA1213-N,39,GJK,1
40A_RSZYD16111255,CL100012239_L02_10,BGJK40A,GRJBAAXRAA1213-N,40,GJK,1
41A_RSZYD16111256,CL100012239_L02_11,BGJK41A,GRJBAAXRAA1213-N,41,GJK,1
42A_RSZYD16111257,CL100012239_L02_12,BGJK42A,GRJBAAXRAA1213-N,42,GJK,1
43A_RSZYD16111258,CL100012239_L02_13,BLcasei43A,GRJBAAXRAA1213-N,43,Lcasei,1
44A_RSZYD16111259,CL100012239_L02_14,BLcasei44A,GRJBAAXRAA1213-N,44,Lcasei,1
45A_RSZYD16111260,CL100012239_L02_15,BLcasei45A,GRJBAAXRAA1213-N,45,Lcasei,1
46A_RSZYD16111261,CL100012239_L02_16,BLcasei46A,GRJBAAXRAA1213-N,46,Lcasei,1
47A_RSZYD16111262,CL100011960_L01_1,BLcasei47A,GRJBAAYRAA1213-N,47,Lcasei,1
48A_RSZYD16111263,CL100011960_L01_2,BLcasei48A,GRJBAAYRAA1213-N,48,Lcasei,1
49A_RSZYD16111264,CL100011960_L01_3,BLcasei49A,GRJBAAYRAA1213-N,49,Lcasei,1
50A_RSZYD16090089,CL100008045_L01_1,control1A,GRJAAAARAAZebra-N,1,Con,2
51A_RSZYD16090090,CL100008045_L01_2,control2A,GRJAAAARAAZebra-N,2,Con,2
52A_RSZYD16090091,CL100008045_L01_3,control3A,GRJAAAARAAZebra-N,3,Con,2
53A_RSZYD16090092,CL100008045_L01_4,control4A,GRJAAAARAAZebra-N,4,Con,2
54A_RSZYD16090093,CL100008045_L01_5,control5A,GRJAAAARAAZebra-N,5,Con,2
55A_RSZYD16090094,CL100008045_L01_6,control6A,GRJAAAARAAZebra-N,6,Con,2
56A_RSZYD16090095,CL100008045_L01_7,control7A,GRJAAAARAAZebra-N,7,Con,2
57A_RSZYD16090096,CL100008045_L01_8,model8A,GRJAAAARAAZebra-N,8,Model,2
58A_RSZYD16090097,CL100008045_L02_9,model9A,GRJAAABRAAZebra-N,9,Model,2
59A_RSZYD16090098,CL100008045_L02_10,model10A,GRJAAABRAAZebra-N,10,Model,2
60A_RSZYD16090099,CL100008045_L02_11,model11A,GRJAAABRAAZebra-N,11,Model,2
61A_RSZYD16090100,CL100008045_L02_12,model12A,GRJAAABRAAZebra-N,12,Model,2
