group,order_id,body_weight,foot__volume_left,foot_volume_right,arthritis_score,tail_inflammation,tail_nodules,ear_erythema,onset_time,day
Con,1,116.7,1.661,1.691,NA,NA,NA,NA,NA,7/20/2017
Con,2,120.1,1.732,1.733,NA,NA,NA,NA,NA,7/20/2017
Con,3,125.2,1.737,1.721,NA,NA,NA,NA,NA,7/20/2017
Con,4,126,1.657,1.621,NA,NA,NA,NA,NA,7/20/2017
Con,5,126.6,1.695,1.708,NA,NA,NA,NA,NA,7/20/2017
Con,6,130.3,1.671,1.704,NA,NA,NA,NA,NA,7/20/2017
Con,7,138.8,1.695,1.718,NA,NA,NA,NA,NA,7/20/2017
Model,8,119.1,1.711,1.692,NA,NA,NA,NA,NA,7/20/2017
Model,9,120.9,1.593,1.598,NA,NA,NA,NA,NA,7/20/2017
Model,10,125.2,1.662,1.714,NA,NA,NA,NA,NA,7/20/2017
Model,11,126.4,1.797,1.82,NA,NA,NA,NA,NA,7/20/2017
Model,12,127.7,1.69,1.739,NA,NA,NA,NA,NA,7/20/2017
Model,13,130.8,1.623,1.698,NA,NA,NA,NA,NA,7/20/2017
Model,14,134.6,1.774,1.695,NA,NA,NA,NA,NA,7/20/2017
HFD,15,130.7,1.689,1.729,NA,NA,NA,NA,NA,7/20/2017
HFD,16,147.1,1.68,1.618,NA,NA,NA,NA,NA,7/20/2017
HFD,17,138.6,1.642,1.672,NA,NA,NA,NA,NA,7/20/2017
HFD,18,145.2,1.811,1.861,NA,NA,NA,NA,NA,7/20/2017
HFD,19,122.8,1.563,1.579,NA,NA,NA,NA,NA,7/20/2017
HFD,20,146,1.817,1.805,NA,NA,NA,NA,NA,7/20/2017
HFD,21,144.9,1.625,1.692,NA,NA,NA,NA,NA,7/20/2017
MTX,22,131.2,1.755,1.767,NA,NA,NA,NA,NA,7/20/2017
MTX,23,119.9,1.712,1.698,NA,NA,NA,NA,NA,7/20/2017
MTX,24,125.2,1.558,1.598,NA,NA,NA,NA,NA,7/20/2017
MTX,25,126.5,1.794,1.784,NA,NA,NA,NA,NA,7/20/2017
MTX,26,128.2,1.763,1.76,NA,NA,NA,NA,NA,7/20/2017
MTX,27,129.2,1.637,1.704,NA,NA,NA,NA,NA,7/20/2017
MTX,28,138.4,1.686,1.709,NA,NA,NA,NA,NA,7/20/2017
ZQFTN,29,116.9,1.554,1.579,NA,NA,NA,NA,NA,7/20/2017
ZQFTN,30,120.6,1.715,1.768,NA,NA,NA,NA,NA,7/20/2017
ZQFTN,31,124.1,1.727,1.761,NA,NA,NA,NA,NA,7/20/2017
ZQFTN,32,125.8,1.718,1.679,NA,NA,NA,NA,NA,7/20/2017
ZQFTN,33,127.6,1.644,1.687,NA,NA,NA,NA,NA,7/20/2017
